"Acanthostichus_bentoni","Acanthostichus_brevicornis","Acropyga_sp1","Acropyga_sp2","Acropyga_sp3","Alfaria_minuta","Amblyopone_sp1","Anochetus_horridus","Anochetus_mayri","Anochetus_neglectus","Anochetus_sp1","Anochetus_targionii","Apterostigma_acre","Apterostigma_auriculatum","Apterostigma_epinotale","Apterostigma_ierense","Apterostigma_pilosum","Apterostigma_sp3","Atta_sexdens","Azteca_Asp4","Azteca_sp1","Azteca_sp2","Bazboltonia_microps","Blepharidatta_brasiliensis","Brachymyrmex_sp1","Brachymyrmex_sp2","Camponotus_balzani","Camponotus_femoratus","Camponotus_latangulus","Camponotus_novogranadensis","Camponotus_rapax","Camponotus_renggeri","Carebara_anophthalma","Carebara_sp1","Centromyrmex_brachycola","Cephalotes_atratus","Crematogaster_distans","Crematogaster_sp2","Crematogaster_sp3","Crematogaster_sp4","Crematogaster_sp5","Crematogaster_sp6","Crematogaster_sp7","Crematogaster_sp8","Cyphomyrmex_costatus","Cyphomyrmex_minutus","Cyphomyrmex_peltatus","Cyphomyrmex_rimosus","Cyphomyrmex_transversus","Daceton_armigerum","Discothyrea_humilis","Discothyrea_sexarticulata","Discothyrea_sp1","Dolichoderus_bidens","Dolichoderus_ghilianii","Dolichoderus_imitator","Dorymyrmex_sp1","Eciton_hamatum","Eciton_mexicanum","Ectatomma_edentatum","Ectatomma_lugens","Ectatomma_tuberculatum","Fulakora_degenerata","Gnamptogenys_acuminata","Gnamptogenys_haenschi","Gnamptogenys_horni","Gnamptogenys_kempfi","Gnamptogenys_tortuolosa","Holcoponera_mina","Holcoponera_relicta","Holcoponera_striatula","Hylomyrma_blandiens","Hylomyrma_reginae","Hylomyrma_sp1","Hypoponera_sp1","Hypoponera_sp2","Hypoponera_sp3","Hypoponera_sp4","Hypoponera_sp5","Hypoponera_sp6","Hypoponera_sp7","Labidus_praedator","Lachnomyrmex_amazonicus","Lachnomyrmex_pilosus","Leptanilloides_amazonus","Leptanilloides_manauara","Leptogenys_gaigei","Leptogenys_langi","Leptogenys_pusilla","Leptogenys_sp1","Leptogenys_sp2","Linepithema_humile","Mayaponera_arhuaca","Mayaponera_constricta","Megalomyrmex_ayri","Megalomyrmex_balzani","Megalomyrmex_cuatiara","Megalomyrmex_drifti","Megalomyrmex_goeldii","Megalomyrmex_incisus","Megalomyrmex_silvestrii","Megalomyrmex_weyrauchi","Mycetarotes_senticosus","Mycetomoellerius_farinosus","Mycetomoellerius_relictus","Mycetomoellerius_ruthae","Myrmicocrypta_sp1","Myrmicocrypta_sp2","Neivamyrmex_carettei","Neivamyrmex_iridescens","Neivamyrmex_pilosus","Neivamyrmex_sp2","Neocerapachy_splendens","Neoponera_apicalis","Neoponera_commutata","Neoponera_laevigata","Neoponera_obscuricornis","Neoponera_villosa","Nesomyrmex_asper","Nylanderia_sp1","Nylanderia_sp2","Nylanderia_sp3","Nylanderia_sp4","Nylanderia_sp5","Nylanderia_sp6","Nylanderia_sp7","Ochetomyrmex_neopolitus","Ochetomyrmex_semipolitus","Octostruma_balzani","Octostruma_betshi","Odontomachus_caelatus","Odontomachus_haematodus","Odontomachus_meinerti","Odontomachus_scalptus","Odontomachus_sp1","Oxyepoecus_sp1","Pachycondyla_crassinoda","Pachycondyla_harpax","Pachycondyla_striata","Paratrachymyrmex_sp1","Paratrachymyrmex_sp2","Paratrachymyrmex_sp3","Paratrachymyrmex_sp4","Paratrachymyrmex_sp5","Pheidole_bufo","Pheidole_embolopyx","Pheidole_fallax","Pheidole_fimbriata","Pheidole_gertrudae","Pheidole_impressa","Pheidole_pubiventris","Pheidole_sp10","Pheidole_sp100","Pheidole_sp11","Pheidole_sp12","Pheidole_sp13","Pheidole_sp14","Pheidole_sp15","Pheidole_sp16","Pheidole_sp17","Pheidole_sp18","Pheidole_sp19","Pheidole_sp20","Pheidole_sp21","Pheidole_sp22","Pheidole_sp24","Pheidole_sp25","Pheidole_sp26","Pheidole_sp28","Pheidole_sp29","Pheidole_sp3","Pheidole_sp30","Pheidole_sp33","Pheidole_sp34","Pheidole_sp35","Pheidole_sp36","Pheidole_sp38","Pheidole_sp40","Pheidole_sp41","Pheidole_sp42","Pheidole_sp43","Pheidole_sp44","Pheidole_sp45","Pheidole_sp46","Pheidole_sp47","Pheidole_sp48","Pheidole_sp5","Pheidole_sp50","Pheidole_sp51","Pheidole_sp54","Pheidole_sp6","Pheidole_sp61","Pheidole_sp7","Pheidole_sp8","Pheidole_sp9","Pheidole_stulta","Pheidole_vorax","Platythyrea_sinuata","Poneracantha_mecotyle","Poneracantha_triangularis","Prionopelta_antillana","Prionopelta_minuta","Prionopelta_modesta","Pseudomyrmex_gracilis","Pseudomyrmex_simplex","Pseudoponera_gilberti","Pseudoponera_stigma","Rasopone_ferruginea","Rogeria_ciliosa","Rogeria_curvipubens","Rogeria_lirata","Rogeria_micromma","Rogeria_scobinata","Rogeria_sp3","Sericomyrmex_amabilis","Sericomyrmex_bondari","Sericomyrmex_mayri","Sericomyrmex_parvulus","Sericomyrmex_pavulus","Sericomyrmex_sp3","Solenopsis_geminata","Solenopsis_saevissima","Solenopsis_sp1","Solenopsis_sp2","Solenopsis_sp4","Solenopsis_sp5","Solenopsis_sp6","Sphinctomyrmex_marcoyi","Strumigenys_appretiata","Strumigenys_apretiata","Strumigenys_beebei","Strumigenys_brevicornis","Strumigenys_hindenburgi","Strumigenys_perparva","Strumigenys_sp4","Strumigenys_sp5","Strumigenys_sp6","Strumigenys_sp7","Strumigenys_sp8","Strumigenys_sp9","Strumigenys_stenotes","Strumigenys_trudifera","Talaridris_mandibularis","Tranopelta_gilva","Typhlomyrmex_pusillus","Typhlomyrmex_sp1","Typhlomyrmex_sp2","Wadeura_holmgreni","Wasmannia_auropunctata","Wasmannia_rochai"
0,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,13,0,0,3,0,0,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,9,21,0,0,1,0,2,0,1,0,0,0,0,0,0,22,27,8,14,1,2,16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,5,0,3,0,0,0,20,1,0,6,0,0,0,0,6,1,5,0,1,1,4,2,0,0,0,1,4,3,0,0,1,0,0,1,2,0,0,1,0,0,1,2,1,0,1,0,0,2,1,0,0,0,0,0,0,3,2,1,0,1,0,0,4,7,0,1,0,0,0,0,0,0,3,0,1,0,7,1,0,0,0,2,0,0,0,2,0,0,0,0,1,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
1,1,0,0,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,1,0,0,12,0,0,3,0,1,1,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,1,7,20,0,0,0,0,11,0,0,2,0,0,0,0,0,17,24,4,11,3,0,12,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,3,1,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,1,0,2,3,1,0,7,4,0,1,2,0,0,0,0,1,18,6,1,6,0,0,0,0,5,0,3,0,1,1,1,5,1,3,2,0,5,1,3,0,4,0,2,0,0,1,1,2,0,0,0,2,0,0,4,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,2,0,16,4,0,0,0,0,0,0,0,2,3,0,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0
0,1,1,3,0,0,1,2,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,9,0,0,10,1,2,5,1,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,1,26,0,1,0,0,7,0,1,0,1,0,0,0,0,14,10,3,13,9,3,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,1,1,1,2,1,2,1,0,3,1,1,0,0,2,2,0,0,4,0,9,0,3,3,2,5,2,1,0,4,0,3,0,0,1,4,12,1,8,0,2,0,0,9,1,1,0,0,4,6,7,0,0,3,1,0,0,4,0,0,3,5,2,5,1,0,2,0,3,0,0,1,1,1,1,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,6,5,2,0,2,0,0,0,0,0,5,0,0,0,8,3,1,0,0,0,0,0,3,0,2,0,0,1,2,3,2,7,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,4,0
0,0,0,0,0,1,0,2,3,1,0,0,3,1,0,0,0,1,0,0,0,0,0,2,0,2,0,5,0,0,0,0,0,3,0,0,13,2,4,2,0,0,2,0,0,0,1,7,0,0,0,0,0,1,0,1,0,0,0,10,2,0,1,0,0,2,0,0,2,0,0,1,0,0,19,21,17,8,1,2,6,0,0,1,0,0,0,0,1,1,1,0,0,11,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,2,0,2,0,0,0,1,2,3,0,1,0,0,5,0,11,0,0,0,0,5,0,2,0,0,11,3,3,0,1,1,1,9,1,11,5,0,6,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,2,0,0,0,5,2,3,0,1,0,0,1,0,1,0,0,1,0,5,0,0,3,2,0,0,0,2,1,0,0,0,0,0,0,6,7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
1,0,0,1,0,1,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,1,1,2,1,1,1,9,0,0,1,0,0,2,0,0,11,1,3,5,0,0,2,0,0,0,3,7,0,0,0,0,1,0,0,2,0,0,0,5,5,0,0,0,0,3,1,0,0,1,0,0,0,0,12,20,12,6,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,2,1,0,0,0,2,0,4,0,1,0,0,0,0,1,0,2,0,0,0,1,1,2,4,1,0,6,3,1,2,0,0,5,0,0,2,0,0,5,5,3,7,0,1,0,0,2,0,2,0,0,2,7,10,0,3,4,1,2,0,7,0,0,2,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,2,4,0,1,0,1,0,8,2,2,0,0,1,0,0,0,0,1,1,0,1,7,0,0,0,1,1,1,1,3,0,0,2,0,0,0,3,6,9,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0
0,1,3,2,1,0,0,2,5,0,1,7,3,0,1,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,1,0,14,9,0,10,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,1,1,0,0,13,11,0,0,0,2,2,0,0,0,0,0,0,1,0,19,16,10,6,6,1,13,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,1,0,1,0,2,1,6,0,0,0,0,1,1,1,0,0,0,0,2,3,2,0,3,7,7,1,1,3,0,3,1,3,0,0,1,6,13,0,6,0,0,1,1,5,0,3,0,0,0,1,13,0,5,4,0,3,0,1,0,0,2,5,1,1,0,3,1,1,0,0,1,0,3,0,0,0,1,0,0,0,0,2,1,1,0,2,0,0,0,1,0,2,2,1,0,1,0,1,0,0,0,6,0,0,0,2,0,0,1,0,1,1,0,4,4,0,0,1,0,4,0,17,4,2,2,0,0,0,1,0,1,0,6,0,0,1,0,0,3,2,3,0,0,5,1,0,0,2,0
1,0,2,1,0,0,0,2,2,0,0,2,1,0,1,0,1,0,0,1,1,1,0,2,0,1,0,0,1,2,4,1,1,4,0,0,2,3,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,23,0,0,0,0,2,0,1,11,1,1,0,0,1,11,13,4,9,3,0,3,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5,1,0,1,2,0,0,0,2,2,3,2,0,0,3,0,0,0,0,0,22,6,2,10,1,2,0,0,9,0,5,0,9,0,2,3,0,2,0,0,3,0,1,0,0,0,2,4,4,0,1,3,0,4,4,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,1,0,9,3,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,10,0,2,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,1,0,0,2,3,1,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,0,0,4,1,0,0,1,0,0,0,0,14,21,4,10,7,4,13,0,1,0,0,0,2,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0,5,0,0,0,2,1,0,0,0,0,7,1,1,0,0,0,0,5,1,3,1,1,0,0,2,0,0,1,5,0,0,4,0,1,3,0,2,0,0,0,0,0,0,1,3,1,0,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,1,2,0
0,0,2,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,3,0,0,1,7,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,10,0,1,0,1,0,0,0,0,10,25,2,9,9,0,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,3,1,1,1,0,0,1,0,1,0,0,0,2,6,1,7,1,1,0,0,6,0,2,0,3,0,1,6,1,0,7,0,0,0,1,0,0,0,0,1,3,0,0,2,1,2,2,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,4,5,1,0,1,0,0,0,0,0,6,0,0,0,5,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,2,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,0,0,0,0
